date, pm25, pm10, o3, no2, so2, co
2023/5/16, 73, 42, 16, 2, , 1
2023/5/17, 66, 44, 16, 2, , 2
2023/5/18, 72, 51, 22, 2, , 2
2023/5/19, 82, , , , , 
2023/5/22, 68, 48, 16, 2, , 1
2023/5/23, 74, 66, 11, 2, , 1
2023/5/24, 68, 43, 12, 2, , 2
2023/5/25, 62, 44, 8, 2, 1, 2
2023/5/26, 61, 45, 11, 2, , 2
2023/5/27, 62, 27, 2, 2, , 1
2023/5/28, 63, 58, 18, 2, , 1
2023/5/29, 90, 48, 25, 2, , 2
2023/5/30, 77, 63, 18, 2, , 2
2023/5/31, 105, 63, 18, 2, , 2
2023/6/1, 91, 46, 10, 2, , 1
2023/6/2, 64, 42, 10, 2, , 2
2023/6/3, 47, 34, 9, 2, , 2
2023/6/4, 53, 44, 12, 2, , 2
2023/6/5, 62, 50, 12, 2, 1, 2
2023/6/6, 75, 49, 13, 2, , 2
2023/6/7, 59, 51, 15, 2, , 1
2023/6/8, 77, 42, 16, 2, , 2
2023/6/9, 56, 48, 13, 2, , 2
2023/6/10, 52, 44, 12, 2, , 1
2023/6/11, 56, 57, 8, 2, 1, 2
2023/6/12, 67, 59, 6, 2, , 2
2023/6/13, 63, 52, 3, 2, 2, 2
2023/6/14, 59, 67, 6, 2, 1, 2
2023/6/15, 60, 58, 6, 2, , 2
2023/6/16, 54, 111, 3, 2, , 2
2023/6/17, 95, 63, 3, 2, , 2
2023/6/18, 82, 83, 6, 2, , 1
2023/6/19, 163, 64, 16, 2, , 1
2023/6/20, 124, , , , , 
2023/6/22, 131, 77, 13, 2, 1, 2
2023/6/23, 110, 61, 8, 2, , 2
2023/6/24, 95, 21, 10, 2, , 2
2023/6/25, 37, 15, 5, 2, , 2
2023/6/26, 27, 19, 6, 2, , 1
2023/6/27, 35, 270, , 2, , 
2023/6/28, 174, 49, 3, 2, 7, 22
2023/6/29, 73, 120, , 2, , 
2023/6/30, 162, 12, , 2, 2, 6
2023/1/2, 155, 69, 23, , 1, 7
2023/1/3, 136, 62, 25, 1, , 7
2023/1/4, 133, 76, 24, 2, 1, 7
2023/1/5, 150, 82, 20, 2, , 9
2023/1/6, 163, 75, 22, 2, 1, 11
2023/1/7, 160, 61, 24, 2, 2, 9
2023/1/8, 135, 72, 25, 2, 9, 14
2023/1/9, 151, 73, 28, 2, 6, 14
2023/1/10, 148, 74, 34, 2, 2, 9
2023/1/11, 154, 60, 21, 1, 1, 5
2023/1/12, 137, 78, 16, 1, 1, 3
2023/1/13, 150, 92, 22, 1, 1, 4
2023/1/14, 169, 67, 38, 1, 1, 5
2023/1/15, 130, 73, 31, 1, 1, 7
2023/1/16, 141, 71, 30, 1, 1, 8
2023/1/17, 137, 76, 29, 1, 2, 13
2023/1/18, 141, 73, 30, 2, 1, 10
2023/1/19, 137, 70, 25, 2, 2, 8
2023/1/20, 136, 63, 33, 2, 1, 5
2023/1/21, 122, 53, 32, 2, 2, 4
2023/1/22, 102, 73, 35, 2, 4, 4
2023/1/23, 148, 65, 37, 2, 1, 5
2023/1/24, 126, 72, 37, 2, 1, 5
2023/1/25, 135, 68, 33, 2, 1, 7
2023/1/26, 129, 61, 29, 2, 1, 9
2023/1/27, 118, 60, 24, 2, 1, 9
2023/1/28, 115, 56, 33, 2, , 6
2023/1/29, 110, 51, 30, 2, 1, 5
2023/1/30, 102, 60, 25, 2, 1, 7
2023/1/31, 117, 51, 28, 2, , 4
2023/2/1, 94, 65, 27, 2, 3, 8
2023/2/2, 121, 80, 30, 2, 8, 13
2023/2/3, 141, 64, 32, 2, 6, 8
2023/2/4, 124, 62, 39, 2, 7, 8
2023/2/5, 122, 63, 35, 2, 2, 4
2023/2/6, 125, 86, 24, 2, 1, 10
2023/2/7, 154, 67, 33, 2, 3, 9
2023/2/8, 131, 63, 35, 2, 1, 5
2023/2/9, 114, , , , , 
2023/2/11, 15, 62, 29, 2, 1, 6
2023/2/12, 16, 87, 30, 2, 6, 11
2023/2/13, 18, 91, 29, 2, 10, 13
2023/2/14, 88, 70, 31, 2, 4, 12
2023/2/15, 128, 101, , 2, 1, 19
2023/2/16, 168, 67, 29, 2, 1, 12
2023/2/17, 128, 70, 36, 2, 2, 11
2023/2/18, 132, 65, 34, 2, 7, 10
2023/2/19, 126, 65, 43, 2, 3, 6
2023/2/20, 122, 62, 41, 2, 2, 4
2023/2/21, 108, 69, 37, 2, 1, 5
2023/2/22, 116, 66, 43, 2, 2, 8
2023/2/23, 134, 65, 43, 2, 7, 7
2023/2/24, 133, 64, 45, 2, 6, 7
2023/2/25, 130, 60, 41, 2, 5, 5
2023/2/26, 129, 64, 37, 2, 5, 5
2023/2/27, 121, 69, 43, 2, 1, 5
2023/2/28, 124, 63, 44, 2, 10, 6
2023/3/1, 129, 73, 40, 2, 6, 8
2023/3/2, 145, 75, 40, 2, 2, 9
2023/3/3, 152, 88, 36, 2, 2, 10
2023/3/4, 162, 80, 35, 2, 1, 8
2023/3/5, 165, 56, 13, 2, , 4
2023/3/6, 134, 61, 19, 2, 1, 9
2023/3/7, 119, 63, 23, 2, 1, 7
2023/3/8, 125, 56, 25, 2, 4, 8
2023/3/9, 108, 61, 32, 2, 3, 10
2023/3/10, 119, 67, 34, 2, 4, 10
2023/3/11, 132, 67, 38, 2, 7, 7
2023/3/12, 145, 81, 32, 2, 3, 10
2023/3/13, 161, 66, 27, 2, 4, 8
2023/3/14, 138, 64, 29, 2, 2, 7
2023/3/15, 146, 56, 18, 2, , 5
2023/3/16, 137, 51, 25, 2, , 5
2023/3/17, 128, 49, 20, 2, , 7
2023/3/18, 102, 41, 14, 2, , 3
2023/3/19, 103, 43, 13, 2, , 4
2023/3/20, 78, 44, 10, 2, , 3
2023/3/21, 77, 18, 11, 2, , 1
2023/3/22, 50, 36, 13, 2, , 2
2023/3/23, 60, 42, 12, 2, , 2
2023/3/24, 64, 48, 27, 2, , 2
2023/3/25, 75, 38, 25, 2, , 2
2023/3/26, 78, 58, 20, 2, , 2
2023/3/27, 95, 63, 24, 2, , 2
2023/3/28, 117, 71, 27, 2, , 3
2023/3/29, 127, 47, 19, 2, , 2
2023/3/30, 93, 39, 10, 2, , 1
2023/3/31, 75, , , , , 
2022/10/1, 94, 32, 18, 3, 3, 2
2022/10/2, 83, 31, 18, 3, 3, 2
2022/10/3, 68, 49, 18, 3, 4, 6
2022/10/4, 108, 41, 18, 3, 2, 2
2022/10/5, 103, 45, 18, 3, 3, 2
2022/10/6, 98, 35, 18, 3, 3, 3
2022/10/7, 86, 29, 18, 3, 2, 3
2022/10/8, 68, 29, 18, 3, 3, 2
2022/10/9, 72, 39, 18, 3, 4, 5
2022/10/10, 88, 32, 18, 3, 5, 3
2022/10/11, 75, 31, 10, 12, 3, 4
2022/10/12, 81, 42, 20, 12, 3, 6
2022/10/13, 99, 248, 17, 11, 1, 6
2022/10/14, 118, 63, 30, 9, , 5
2022/10/15, 81, 28, , 10, , 5
2022/10/16, 87, , , , , 
2022/10/24, 140, 80, 30, 4, 1, 4
2022/10/25, 121, 64, 27, 5, 1, 5
2022/10/26, 130, 71, 28, 7, , 9
2022/10/27, 139, 70, 30, 6, 1, 9
2022/10/28, 141, 83, , 7, 1, 11
2022/10/29, 148, 73, 30, 5, 1, 10
2022/10/30, 138, 76, 35, 6, , 8
2022/10/31, 141, 74, 33, 6, 1, 8
2022/11/1, 149, 75, 32, 5, , 8
2022/11/2, 144, 72, 30, 5, 1, 9
2022/11/3, 139, 101, 26, 5, 3, 16
2022/11/4, 150, 99, 27, 6, 2, 15
2022/11/5, 166, 88, 22, 5, 4, 11
2022/11/6, 153, 81, 25, 4, 1, 11
2022/11/7, 147, 73, 22, 5, 1, 10
2022/11/8, 146, 84, 29, 6, 1, 12
2022/11/9, 154, 77, 32, 6, 1, 7
2022/11/10, 151, 71, 29, 6, , 6
2022/11/11, 152, 84, 34, 7, , 8
2022/11/12, 159, 92, 34, 7, , 11
2022/11/13, 169, 98, 31, 8, , 10
2022/11/14, 171, 91, 29, 8, , 10
2022/11/15, 159, 72, 1, 9, , 8
2022/11/16, 150, 69, 34, 7, 1, 8
2022/11/17, 142, 71, 31, 11, 1, 6
2022/11/18, 137, 70, 18, 10, 1, 6
2022/11/19, 141, 70, 18, 10, 1, 5
2022/11/20, 143, 82, 18, 12, 1, 9
2022/11/21, 159, 94, 18, 16, 1, 13
2022/11/22, 171, 117, 18, 15, 3, 17
2022/11/23, 174, 125, 23, 15, 4, 16
2022/11/24, 171, 117, 31, 14, 1, 17
2022/11/25, 184, 101, 18, 12, 1, 10
2022/11/26, 174, , , , , 
2022/11/28, 123, 82, 18, 12, 1, 11
2022/11/29, 150, 79, 18, 14, 1, 13
2022/11/30, 157, 75, 18, 13, 3, 10
2022/12/1, 161, 95, 18, 16, 2, 11
2022/12/2, 164, 78, 18, 13, 1, 11
2022/12/3, 157, 74, 18, 12, , 11
2022/12/4, 159, 79, 22, 6, , 9
2022/12/5, 159, 77, 32, 2, , 13
2022/12/6, 78, 88, 31, 1, , 11
2022/12/7, 125, 71, 31, 1, , 7
2022/12/8, 146, 76, 30, , 12, 5
2022/12/9, 139, 77, 29, , 11, 9
2022/12/10, 149, , 26, , 1, 8
2022/12/12, 115, 46, 13, , , 6
2022/12/13, 94, 42, 12, , , 5
2022/12/14, 89, 45, 13, , , 15
2022/12/15, 91, 62, 18, , , 13
2022/12/16, 121, 59, 18, , 1, 5
2022/12/17, 127, 55, 22, , , 5
2022/12/18, 115, 56, 24, , , 8
2022/12/19, 117, 75, 31, , 2, 13
2022/12/20, 141, 79, 29, , 1, 11
2022/12/21, 150, 66, 31, , 1, 6
2022/12/22, 135, 66, 34, , , 6
2022/12/23, 136, 60, 16, , 1, 5
2022/12/24, 125, 56, 20, , 1, 6
2022/12/25, 118, 76, 24, , 1, 10
2022/12/26, 146, 70, 21, , , 9
2022/12/27, 144, 57, 42, , 1, 6
2022/12/28, 118, , , , , 
2022/12/31, 111, 51, 27, , 1, 5
2023/1/1, 108, 81, 26, , 1, 11
2022/7/1, 49, 25, 6, , , 3
2022/7/2, 48, 25, 6, , , 3
2022/7/3, 49, 18, 4, , , 5
2022/7/4, 47, 13, 9, , 1, 4
2022/7/5, 32, 15, 5, , , 5
2022/7/6, 28, 16, 6, 8, , 3
2022/7/7, 40, 18, 9, 8, 2, 4
2022/7/8, 34, 20, 7, 5, , 2
2022/7/9, 53, 17, 9, 5, , 5
2022/7/10, 38, 11, 9, 4, , 3
2022/7/11, 28, , , , , 
2022/7/13, 51, 11, 6, 5, , 5
2022/7/14, 37, 19, 6, 8, 1, 5
2022/7/15, 47, 20, 6, 8, 1, 5
2022/7/16, 50, 39, 6, 5, 1, 3
2022/7/17, 70, 19, 4, 6, 1, 3
2022/7/18, 32, 24, 6, 5, 1, 6
2022/7/19, 53, 24, 6, 3, , 3
2022/7/20, 57, 21, 5, 4, , 3
2022/7/21, 51, 32, 7, 4, , 4
2022/7/22, 68, 26, 6, 4, , 4
2022/7/23, 20, 13, 5, 3, , 3
2022/7/24, 39, 28, 3, 7, , 5
2022/7/25, 51, 29, 5, 5, , 4
2022/7/26, 35, 26, 6, 3, , 3
2022/7/29, 53, 37, 7, 2, , 3
2022/7/30, 62, 36, 7, 3, , 3
2022/7/31, 59, 40, 6, 2, , 3
2022/8/1, 79, 30, 5, 4, 1, 3
2022/8/2, 73, 37, 9, 6, , 3
2022/8/3, 87, 28, 8, 2, 1, 3
2022/8/4, 65, 24, 5, 5, , 5
2022/8/5, 62, 25, 8, 3, , 3
2022/8/6, 60, 25, 7, 2, , 3
2022/8/7, 65, 26, 5, 4, , 5
2022/8/8, 69, 23, 18, 5, , 4
2022/8/9, 65, 14, 18, 5, , 4
2022/8/17, 46, 27, 18, 3, 1, 5
2022/8/18, 54, 32, 18, 3, , 4
2022/8/19, 69, 33, 18, 3, 2, 3
2022/8/20, 65, , , , , 
2022/8/22, 57, 33, 18, 3, 3, 2
2022/8/23, 33, 38, 18, 3, 2, 5
2022/8/24, 62, 29, 18, 3, 2, 5
2022/8/25, 58, 43, 18, 3, 2, 3
2022/8/26, 52, 49, 18, 3, 2, 3
2022/9/2, 65, 41, 18, 3, 2, 5
2022/9/3, 100, , , , , 
2022/9/5, 64, 27, 18, 3, 2, 3
2022/9/6, 71, 45, 18, 3, 3, 4
2022/9/7, 87, 44, 18, 3, 2, 6
2022/9/8, 96, 83, 18, 3, 1, 23
2022/9/9, 64, 40, 18, 3, 3, 16
2022/9/10, 75, 25, 18, 3, 3, 4
2022/9/11, 72, 49, 18, 3, 2, 4
2022/9/12, 119, 28, 18, 3, 3, 4
2022/9/13, 64, , 18, 3, 2, 5
2022/9/14, 46, 14, 18, 3, 3, 6
2022/9/15, 39, 15, 18, 3, 3, 4
2022/9/16, 49, 18, 18, 3, 2, 4
2022/9/17, 54, 15, 18, 3, 3, 4
2022/9/18, 45, 7, 18, 4, , 
2022/9/20, 62, 40, 18, 3, 5, 4
2022/9/21, 65, 31, 18, 3, 2, 4
2022/9/22, 19, 38, 18, 3, 4, 4
2022/9/23, 29, 33, 18, 3, 5, 3
2022/9/24, 59, 26, 18, 3, 4, 2
2022/9/25, 61, 44, 18, 3, 2, 6
2022/9/26, 59, 35, 18, 3, 3, 3
2022/9/27, 72, 39, 18, 3, 3, 6
2022/9/28, 73, 41, 18, 3, 2, 5
2022/9/29, 79, 38, 18, 3, 3, 6
2022/9/30, 87, 36, 18, 3, 3, 4
2022/4/1, 101, 58, 30, 8, , 3
2022/4/2, 92, 63, 39, 14, 2, 5
2022/4/3, 100, 66, 38, 18, 4, 6
2022/4/4, 125, 62, 73, 14, 2, 7
2022/4/5, 118, 64, 31, 5, 1, 5
2022/4/6, 113, 48, 26, 3, 1, 3
2022/4/7, 90, 59, 34, 6, 2, 4
2022/4/8, 116, 60, 31, 9, 1, 3
2022/4/9, 99, 48, 31, 7, 1, 3
2022/4/10, 92, 55, 26, 7, 2, 3
2022/4/11, 98, 58, 23, 8, 1, 3
2022/4/12, 102, 67, 23, 8, 2, 3
2022/4/13, 120, 57, 30, 7, 2, 3
2022/4/14, 110, 48, 28, 8, 1, 3
2022/4/15, 90, 56, 24, 7, , 3
2022/4/16, 86, 54, 28, 6, , 2
2022/4/17, 89, 53, 26, 6, , 2
2022/4/18, 82, 57, 29, 7, , 3
2022/4/19, 98, 59, 26, 5, 1, 2
2022/4/20, 100, 40, 28, 5, 1, 2
2022/4/21, 77, 77, 64, 22, 12, 22
2022/4/22, 150, 50, 33, 7, 4, 3
2022/4/23, 94, 67, 28, 14, 3, 3
2022/4/24, 121, 57, 27, 15, 2, 5
2022/4/25, 132, 52, 30, 10, 1, 4
2022/4/26, 120, 51, 34, 8, 3, 2
2022/4/27, 122, 66, 46, 25, 2, 8
2022/4/28, 141, 55, 33, 10, 1, 4
2022/4/29, 119, 52, 20, 8, , 3
2022/4/30, 97, 40, 22, 7, 1, 3
2022/5/1, 73, 45, 20, 7, , 3
2022/5/2, 75, 52, 20, 6, , 1
2022/5/3, 78, 50, 29, 7, , 2
2022/5/4, 78, 60, 31, 6, , 3
2022/5/5, 86, 85, 20, 11, 1, 8
2022/5/6, 101, 76, 34, 8, 1, 4
2022/5/7, 115, 75, 36, 7, 1, 3
2022/5/8, 125, 76, 37, 8, 1, 4
2022/5/9, 120, 59, 33, 7, , 2
2022/5/10, 105, 61, 34, 8, , 4
2022/5/11, 108, 61, 22, 7, , 3
2022/5/12, 88, 61, 24, 7, , 2
2022/5/13, 79, 64, 24, 7, , 3
2022/5/14, 87, 59, 24, 6, , 2
2022/5/15, 83, 55, 23, 6, , 2
2022/5/16, 84, 80, 24, 6, , 2
2022/5/17, 109, 85, 24, 5, , 3
2022/5/18, 116, 100, 28, 7, , 3
2022/5/19, 135, 79, 19, 8, , 2
2022/5/20, 101, 70, 16, 6, , 2
2022/5/21, 86, 56, 14, 5, , 2
2022/5/22, 73, 48, 13, 6, , 2
2022/5/23, 64, 95, 13, 6, , 3
2022/5/24, 65, 54, 20, 5, , 2
2022/5/25, 69, 54, 25, 4, , 3
2022/5/26, 68, 47, 12, 7, , 2
2022/5/27, 68, 47, 15, 6, , 3
2022/5/28, 72, 48, 16, 5, , 1
2022/5/29, 68, 54, 17, 5, , 2
2022/5/30, 66, 53, 18, 4, , 2
2022/5/31, 62, 50, 19, 5, , 2
2022/6/1, 68, 52, 22, 5, , 2
2022/6/2, 71, 56, 19, 6, , 2
2022/6/3, 94, 49, 22, 4, , 3
2022/6/4, 68, 44, 21, 5, , 2
2022/6/5, 61, 45, 18, 5, , 1
2022/6/6, 60, 39, 15, 5, , 2
2022/6/7, 62, 29, 18, 5, , 2
2022/6/8, 60, 34, 17, 8, , 3
2022/6/9, 60, 23, 22, 10, , 2
2022/6/10, 63, 19, 15, 10, , 3
2022/6/11, 51, 18, 14, 6, , 2
2022/6/12, 49, 44, 16, 6, , 3
2022/6/13, 52, 52, 15, 9, , 6
2022/6/14, 74, 47, 16, 4, , 3
2022/6/15, 65, 44, 11, , , 3
2022/6/16, 84, 53, 14, , , 3
2022/6/17, 68, 62, 12, , , 2
2022/6/18, 81, 22, 7, , , 2
2022/6/19, 45, 32, 5, , , 3
2022/6/20, 41, 41, 8, , , 3
2022/6/21, 50, 25, 14, , , 2
2022/6/22, 50, 33, 10, , 1, 7
2022/6/23, 38, 19, 12, , , 6
2022/6/24, 48, 23, 15, , , 4
2022/6/25, 53, 22, 19, , , 3
2022/6/26, 59, 20, 9, , , 3
2022/6/27, 41, 24, 9, , , 3
2022/6/28, 55, 28, 7, , , 4
2022/6/29, 55, 26, 7, , , 3
2022/6/30, 40, 24, 9, , , 3
2022/1/3, 152, 66, 18, 16, 5, 13
2022/1/4, 140, 75, 18, 17, 2, 11
2022/1/5, 131, 67, 18, 12, , 6
2022/1/6, 154, 68, 18, 14, , 6
2022/1/7, 140, 55, 18, 8, , 4
2022/1/8, 115, 20, 18, 6, , 2
2022/1/9, 49, 44, 18, 12, 2, 5
2022/1/10, 84, 53, 18, 12, 1, 4
2022/1/11, 120, 55, 18, 14, 2, 6
2022/1/12, 104, 67, 18, 15, 2, 9
2022/1/13, 132, 66, 18, 15, 1, 8
2022/1/14, 135, 70, 18, 17, 3, 9
2022/1/15, 142, 73, 18, 17, 3, 5
2022/1/16, 168, 71, 18, 15, 1, 9
2022/1/17, 140, 57, 18, 13, 2, 6
2022/1/18, 106, 60, 18, 15, 3, 8
2022/1/19, 100, 51, 18, 12, 1, 5
2022/1/20, 81, 46, 18, 11, , 4
2022/1/21, 82, 46, 18, 8, , 2
2022/1/22, 51, 494, 18, 4, , 1
2022/1/23, 132, 134, 18, 8, 1, 3
2022/1/24, 113, 116, 18, 15, 4, 7
2022/1/25, 126, 87, 18, 17, 6, 6
2022/1/26, 118, 59, 18, 16, 3, 6
2022/1/27, 89, 61, 18, 19, 11, 9
2022/1/28, 108, 68, 18, 17, 6, 7
2022/1/29, 155, , , , , 
2022/2/2, 122, 63, 18, 9, , 3
2022/2/3, 103, 76, 18, 10, , 3
2022/2/4, 92, 87, 18, 11, 4, 4
2022/2/5, 107, 101, 18, 28, 1, 14
2022/2/6, 160, 89, 18, 16, 15, 4
2022/2/7, 139, 61, 18, 6, , 5
2022/2/8, 146, 63, 18, 6, 1, 1
2022/2/9, 89, , , , , 
2022/2/11, 85, 62, 18, 18, 3, 7
2022/2/12, 113, 56, 18, 13, 4, 5
2022/2/13, 120, 57, 18, 9, 1, 3
2022/2/14, 99, 50, 18, 10, 1, 4
2022/2/15, 97, 52, 18, 14, 2, 5
2022/2/16, 88, 45, 18, 13, 2, 5
2022/2/17, 80, 57, 18, 16, 1, 5
2022/2/18, 110, 45, 18, 12, 1, 4
2022/2/19, 91, 45, 18, 9, 1, 4
2022/2/20, 95, 44, 18, 11, 1, 4
2022/2/21, 84, 65, 18, 12, 1, 4
2022/2/22, 107, 56, 18, 13, 1, 5
2022/2/23, 92, 52, 18, 10, 1, 4
2022/2/24, 95, 55, 18, 12, 2, 4
2022/2/25, 73, 58, 18, 12, 3, 5
2022/2/26, 92, 58, 18, 13, 3, 
2022/2/27, 102, 55, 18, 12, 3, 4
2022/2/28, 90, 64, 18, 16, 4, 6
2022/3/1, 121, 59, 18, 17, 3, 8
2022/3/2, 114, 56, 18, 12, 1, 5
2022/3/3, 107, 53, 18, 15, 1, 5
2022/3/4, 89, 55, 18, 14, 2, 5
2022/3/5, 95, 61, 18, 16, 5, 6
2022/3/6, 114, 62, 18, 18, 1, 7
2022/3/7, 125, 48, 18, 15, , 5
2022/3/8, 93, 224, 18, 19, 1, 7
2022/3/9, 101, 60, 18, 23, 8, 8
2022/3/10, 107, 49, 18, 16, 2, 5
2022/3/11, 101, 53, 18, 18, 4, 11
2022/3/12, 98, 66, 18, 20, 4, 11
2022/3/13, 117, 58, 18, 20, 2, 13
2022/3/14, 107, 59, 18, 19, 1, 9
2022/3/15, 99, 60, 18, 19, 1, 6
2022/3/16, 104, 62, 18, 19, 3, 7
2022/3/17, 120, 64, 18, 14, 2, 10
2022/3/18, 131, 50, 18, 11, 2, 4
2022/3/19, 93, 48, 18, 10, 1, 3
2022/3/20, 86, 67, 18, 12, 2, 3
2022/3/21, 99, 52, 18, 10, 3, 3
2022/3/22, 81, 57, 18, 10, 3, 2
2022/3/23, 99, 70, 18, 14, 8, 5
2022/3/24, 112, 60, 18, 12, 3, 4
2022/3/25, 117, 57, 18, 13, 3, 4
2022/3/26, 100, 55, 18, 13, 2, 3
2022/3/27, 97, 54, 18, 13, 1, 4
2022/3/28, 103, 59, 18, 13, 1, 5
2022/3/29, 103, 59, 18, 11, 1, 4
2022/3/30, 101, 55, 18, 13, 1, 4
2022/3/31, 89, 72, 20, 9, , 3
2021/10/1, 55, 34, 7, 10, , 7
2021/10/2, 79, 38, 15, 9, , 5
2021/10/3, 75, 42, 21, 7, , 3
2021/10/4, 96, 31, 15, 8, 6, 7
2021/10/5, 86, 41, 17, 10, , 5
2021/10/6, 87, 40, 19, 11, , 5
2021/10/7, 104, 39, 18, 11, , 5
2021/10/8, 101, 27, 11, 9, , 4
2021/10/9, 74, 24, 13, 7, , 3
2021/10/10, 69, 42, 23, 10, , 5
2021/10/11, 109, 63, 22, 9, , 5
2021/10/12, 109, 52, 26, 13, , 8
2021/10/13, 105, 63, 52, 12, , 8
2021/10/14, 130, 67, 40, 11, , 7
2021/10/15, 129, 57, 41, 8, , 3
2021/10/16, 102, 56, 30, 10, , 5
2021/10/17, 120, 58, 33, 8, , 4
2021/10/18, 103, 52, 30, 9, , 4
2021/10/19, 89, 51, 35, 10, , 5
2021/10/20, 90, 56, 32, 11, , 5
2021/10/21, 107, 50, 25, 9, , 5
2021/10/22, 95, 50, 24, 10, , 5
2021/10/23, 92, 44, 21, 8, , 4
2021/10/24, 87, 41, 27, 9, , 5
2021/10/25, 88, 53, 30, 11, , 6
2021/10/26, 102, 62, 43, 15, 3, 8
2021/10/27, 121, 60, 35, 12, , 5
2021/10/28, 130, 68, 40, 16, , 6
2021/10/29, 125, 69, 43, 16, , 7
2021/10/30, 140, 78, 32, 20, , 9
2021/10/31, 150, 79, 32, 21, , 11
2021/11/1, 156, 71, 22, 17, , 7
2021/11/2, 142, 72, 37, 20, , 9
2021/11/3, 146, 82, 34, 18, , 7
2021/11/4, 163, 82, 28, 13, , 6
2021/11/5, 158, 55, 28, 12, , 5
2021/11/6, 127, 67, 31, 14, , 5
2021/11/7, 159, 67, 40, 18, , 7
2021/11/8, 157, 69, 40, 17, 1, 8
2021/11/9, 153, 69, 5, 16, , 8
2021/11/10, 156, 74, , 19, , 7
2021/11/11, 157, 71, 51, 18, , 8
2021/11/12, 153, 78, 31, 19, , 11
2021/11/13, 162, 73, 12, 16, , 9
2021/11/14, 159, 71, , 18, , 9
2021/11/15, 155, 69, 30, 15, , 7
2021/11/16, 156, 58, 34, 13, , 7
2021/11/17, 135, 33, 8, 10, , 5
2021/11/18, 79, 45, 13, 15, , 8
2021/11/19, 100, 55, 16, 12, , 6
2021/11/20, 127, 41, 11, 11, , 4
2021/11/21, 93, 26, 15, 9, , 4
2021/11/22, 62, 32, 23, 7, , 4
2021/11/23, 82, 53, 27, 10, , 5
2021/11/24, 123, 55, 3, 10, , 6
2021/11/25, 112, 62, , 10, , 8
2021/11/26, 143, 68, , 14, 1, 9
2021/11/27, 148, 67, , 13, 2, 5
2021/11/28, 146, 73, 112, 16, 5, 7
2021/11/29, 149, 75, 18, 14, 2, 7
2021/11/30, 158, 59, 18, 10, , 6
2021/12/1, 152, 60, 18, 11, , 6
2021/12/2, 120, 62, 18, 11, , 8
2021/12/3, 142, 66, 18, 12, , 9
2021/12/4, 155, 45, 18, 9, , 6
2021/12/5, 102, 68, 18, 13, , 8
2021/12/6, 147, 94, 18, 16, , 11
2021/12/7, 179, 114, 18, 19, , 16
2021/12/8, 179, 77, 18, 16, , 15
2021/12/9, 162, 73, 18, 18, , 13
2021/12/10, 160, 75, 18, 18, , 12
2021/12/11, 160, 75, 18, 17, 1, 14
2021/12/12, 162, 68, 18, 13, 2, 7
2021/12/13, 159, 56, 18, 10, , 5
2021/12/14, 144, 64, 18, 13, , 8
2021/12/15, 150, 59, 18, 11, , 7
2021/12/16, 143, 69, 18, 14, , 9
2021/12/17, 159, 71, 18, 14, 1, 9
2021/12/18, 158, 69, 18, 14, 3, 7
2021/12/19, 160, 77, 18, 17, 2, 12
2021/12/20, 162, 78, 18, 17, 1, 14
2021/12/21, 164, 68, 18, 15, 2, 9
2021/12/22, 154, 64, 18, 13, , 7
2021/12/23, 155, 63, 18, 11, 1, 7
2021/12/24, 147, 52, 18, 9, 1, 6
2021/12/25, 133, 52, 18, 13, 3, 6
2021/12/26, 128, 64, 18, 16, 3, 10
2021/12/27, 150, 55, 18, 10, 1, 6
2021/12/28, 132, 53, 18, 10, 2, 5
2021/12/29, 137, 64, 18, 13, 4, 6
2021/12/30, 157, 63, 18, 14, 2, 7
2021/12/31, 153, 61, 18, 15, 1, 10
2022/1/1, 152, 64, 18, 12, 1, 9
2022/1/2, 161, 71, 18, 18, 2, 14
2021/7/1, 79, 30, 9, 11, , 2
2021/7/2, 72, 29, 11, 11, , 2
2021/7/3, 61, 27, 13, 10, , 2
2021/7/4, 67, 41, 13, 12, , 1
2021/7/5, 94, 43, 15, 10, , 1
2021/7/6, 81, 40, 14, 10, , 1
2021/7/7, 81, 31, 6, 11, , 3
2021/7/8, 64, 32, 8, 9, , 3
2021/7/9, 57, 25, 7, 11, , 3
2021/7/10, 57, 18, 12, 10, , 3
2021/7/11, 53, 18, 13, 13, , 4
2021/7/12, 56, 19, 8, 10, , 2
2021/7/13, 45, 24, 9, 10, , 2
2021/7/14, 39, 20, 9, 10, , 2
2021/7/15, 52, 20, 8, 10, , 2
2021/7/16, 59, 17, 8, 8, , 1
2021/7/17, 54, 17, 7, 8, , 1
2021/7/18, 33, 18, 6, 8, , 2
2021/7/19, 42, 32, 5, 8, , 2
2021/7/20, 84, 21, 5, 8, , 2
2021/7/21, 53, 29, 5, 7, , 1
2021/7/22, 69, 42, 6, 8, , 2
2021/7/23, 77, 31, 5, 7, , 2
2021/7/24, 66, 30, 5, 7, , 2
2021/7/25, 70, 27, 51, 8, 2, 11
2021/7/26, 70, 30, 6, 8, , 2
2021/7/27, 83, , 5, 8, , 2
2021/7/28, 77, 26, 7, 7, , 2
2021/7/29, 77, 32, 6, 7, , 3
2021/7/30, 72, 31, 6, 7, , 2
2021/7/31, 86, 25, 6, 6, , 1
2021/8/1, 87, 24, 5, 7, , 1
2021/8/2, 86, 22, 4, 8, , 3
2021/8/3, 98, 23, 3, 7, , 2
2021/8/4, 142, 32, 5, 7, , 2
2021/8/5, 128, 37, 6, 7, , 2
