date, pm25, pm10, o3, no2, so2, co
2024/7/20, 41, 10, 1, 11, 5, 7
2024/7/21, 28, 13, 6, 13, 3, 9
2024/7/22, 35, 13, 7, 11, 3, 6
2024/7/23, 36, 14, 12, 10, 3, 10
2024/7/24, 39, 23, 17, 10, , 10
2024/7/25, 54, 33, 14, 3, 1, 6
2024/7/26, 72, 33, 13, , 2, 5
2024/7/27, 72, 31, 17, , 1, 6
2024/7/28, 70, 30, 14, , 2, 8
2024/7/29, 69, 34, 14, , 1, 13
2024/7/30, 73, 29, 14, , 1, 8
2024/7/31, 66, 27, 13, , 1, 6
2024/8/1, 64, 28, 13, , 2, 11
2024/8/2, 65, 13, 10, , 1, 8
2024/8/3, 36, 10, 12, , 1, 6
2024/8/4, 29, 18, 11, , 1, 7
2024/8/5, 45, 24, 11, , 1, 7
2024/8/6, 58, 144, 13, , 3, 6
2024/8/7, 157, 30, 12, , 1, 8
2024/8/8, 68, 22, 10, , 1, 7
2024/8/9, 54, 12, 10, 1, 1, 5
2024/8/10, 41, 14, 4, , 1, 5
2024/8/11, 49, 23, 2, , 2, 7
2024/8/12, 56, 23, 5, , 1, 6
2024/8/13, 58, 21, 33, , 7, 7
2024/8/14, 55, 24, 3, , , 4
2024/8/15, 59, 32, 4, 6, 1, 7
2024/8/16, 71, 28, 6, 4, 3, 2
2024/8/17, 65, 48, 11, 3, 2, 4
2024/8/18, 93, 27, 10, 3, 2, 5
2024/8/19, 65, 22, 13, 3, 3, 3
2024/8/20, 56, 29, 11, 4, 3, 4
2024/8/21, 65, 40, 10, 3, 3, 4
2024/8/22, 84, 18, 3, 3, 3, 4
2024/8/23, 48, 13, 5, 2, 3, 3
2024/8/24, 35, 11, 7, 1, 3, 3
2024/8/25, 30, 13, 9, 1, 3, 3
2024/8/26, 36, 18, 8, 3, 3, 2
2024/8/27, 46, 14, 7, 4, 3, 1
2024/8/28, 38, , , , , 
2024/9/1, 68, 20, 6, 3, 3, 3
2024/9/2, 52, 22, 3, 3, 3, 2
2024/9/3, 54, 28, 5, 3, 3, 3
2024/9/4, 66, 19, 9, 2, 3, 3
2024/9/5, 48, 20, 9, 2, 3, 3
2024/9/6, 54, 21, 15, 2, 3, 2
2024/9/7, 55, 18, 13, 2, 3, 3
2024/9/8, 48, 22, 14, 2, 3, 4
2024/9/9, 55, 25, 13, 2, 3, 2
2024/9/10, 61, 19, 13, 2, 3, 3
2024/9/11, 51, 29, 13, 2, 3, 3
2024/9/12, 68, 41, 31, 2, 9, 6
2024/9/13, 85, 33, 10, 5, 1, 4
2024/9/14, 75, 20, 13, 4, 1, 3
2024/9/15, 47, 37, 11, 2, 1, 3
2024/9/16, 79, 29, 17, 2, 2, 2
2024/9/17, 57, 41, 16, 3, 1, 3
2024/9/18, 68, 55, 13, 3, 1, 2
2024/9/19, 87, 38, 19, 4, 1, 2
2024/9/20, 82, 50, 8, 3, , 2
2024/9/21, 75, 39, 8, 3, 1, 2
2024/9/22, 70, 51, 10, 2, 2, 3
2024/9/23, 81, 26, 8, 2, 1, 3
2024/9/24, 59, 18, 9, 6, 2, 5
2024/9/25, 56, 14, 6, 5, 3, 4
2024/9/26, 39, 13, 9, 4, 2, 4
2024/9/27, 29, 17, 10, 4, 2, 5
2024/9/28, 42, 21, 11, 4, 2, 3
2024/9/29, 48, 34, 11, 4, 2, 4
2024/9/30, 76, 47, 16, 4, 2, 4
2024/4/1, 114, , , , , 
2024/4/3, 129, 75, 16, 5, 1, 11
2024/4/4, 111, 68, 13, 5, 2, 7
2024/4/5, 118, , , , , 
2024/4/7, 72, 49, 5, 8, , 18
2024/4/8, 80, 55, 25, 6, 1, 12
2024/4/9, 98, 62, 27, 6, 1, 14
2024/4/10, 97, 55, 27, 4, 1, 13
2024/4/11, 90, , , , , 
2024/4/13, 93, 50, 31, 5, 1, 10
2024/4/14, 77, 58, 65, 4, 1, 15
2024/4/15, 88, 65, 27, 5, 1, 15
2024/4/16, 98, 52, 33, 5, 1, 17
2024/4/17, 92, 57, 33, 5, 1, 8
2024/4/18, 101, 55, 23, 5, 1, 8
2024/4/19, 101, 71, 15, 3, 1, 9
2024/4/20, 133, 50, 16, 9, 1, 8
2024/4/21, 106, 54, 19, 6, 2, 8
2024/4/22, 101, 60, 22, 5, 3, 10
2024/4/23, 123, 60, 27, 4, 4, 10
2024/4/24, 129, 68, 24, 3, 3, 8
2024/4/25, 132, , , , , 
2024/4/27, 115, 61, 25, 6, 3, 7
2024/4/28, 125, 67, 26, 7, 4, 8
2024/4/29, 135, 67, 22, 7, 4, 6
2024/4/30, 126, 69, 25, 8, 4, 8
2024/5/1, 117, 64, 28, 8, 3, 7
2024/5/2, 108, 88, 37, 4, 4, 7
2024/5/3, 153, 75, 30, 1, 3, 8
2024/5/4, 140, 58, 19, , 2, 7
2024/5/5, 100, 54, 24, , 2, 6
2024/5/6, 89, 67, 28, , 2, 6
2024/5/7, 89, 59, 37, , 2, 6
2024/5/8, 80, 63, 37, , 2, 5
2024/5/9, 94, 53, 32, , 1, 8
2024/5/10, 81, 57, 52, 1, 2, 7
2024/5/11, 115, , , , , 
2024/5/13, 149, 52, 44, 3, 2, 10
2024/5/14, 208, 49, 14, 5, 2, 11
2024/5/15, 135, 69, 56, 2, 2, 3
2024/5/16, 120, 66, 48, 1, 2, 6
2024/5/17, 115, 62, 46, 2, 2, 5
2024/5/18, 105, 68, 43, 2, 2, 6
2024/5/19, 120, 62, 36, 2, 2, 4
2024/5/20, 104, 60, 50, 2, 2, 5
2024/5/21, 102, 83, 49, 3, 3, 7
2024/5/22, 127, 75, 40, 2, 2, 7
2024/5/23, 127, 67, 33, 2, 2, 5
2024/5/24, 126, 63, 27, 2, 2, 4
2024/5/25, 79, 58, 18, 1, 2, 4
2024/5/26, 73, 70, 16, 1, 2, 5
2024/5/27, 92, 62, 20, 1, 2, 3
2024/5/28, 78, 70, 21, 3, 2, 4
2024/5/29, 87, 67, 22, 3, 2, 3
2024/5/30, 85, 50, 13, 2, 2, 4
2024/5/31, 70, 67, 15, 11, 19, 
2024/6/1, 144, 49, 11, 7, 2, 4
2024/6/2, 77, 66, 14, 10, 2, 6
2024/6/3, 125, 69, 19, 9, 4, 5
2024/6/4, 132, 57, 15, 8, 4, 3
2024/6/5, 99, 57, 9, 7, 3, 5
2024/6/6, 100, 61, 28, 6, 4, 4
2024/6/7, 110, 58, 18, 5, 4, 6
2024/6/8, 102, 52, 7, 6, 4, 3
